62.8,48.1,48.7
13.5,82.4,39.8
37.5,56.0,18.5
10.4,52.4,69.7
83.1,95.4,78.1
48.6,62.1,24.9
34.6,20.8,41.1
95.3,32.2,22.5
74.1,13.7,12.2
50.8,20.0,93.9
36.0,46.0,77.6
36.8,56.8,29.1
45.1,72.1,28.5
17.4,94.2,37.1
97.2,46.4,88.3
11.2,78.8,43.7
96.6,21.4,84.0
68.7,16.9,57.5
23.0,70.7,99.9
22.2,41.9,87.9
50.8,96.5,36.0
99.7,37.2,20.8
62.2,20.8,46.6
49.0,16.5,76.8
11.4,32.1,22.4
25.2,48.4,18.9
10.8,13.9,22.4
97.3,51.3,36.6
11.8,22.6,22.8
80.6,75.0,44.8
76.9,36.1,45.0
88.5,62.5,55.5
66.6,98.6,63.0
12.7,32.3,52.4
11.3,23.5,60.0
92.3,39.1,92.2
40.0,58.1,82.2
63.7,41.8,90.7
51.4,24.4,80.6
33.7,53.1,39.2
37.0,15.4,77.8
74.3,91.4,68.5
38.8,61.5,32.6
70.7,44.4,57.2
99.9,44.1,36.2
75.7,91.6,87.7
51.8,58.6,31.0
38.7,21.4,81.6
23.0,25.5,30.1
37.0,27.3,14.1
72.7,11.6,78.3
53.7,73.2,15.7
27.7,71.1,15.5
64.3,61.1,28.1
69.2,21.6,39.5
88.8,18.9,22.3
69.6,98.4,42.5
76.8,65.7,87.5
44.8,58.1,69.6
92.7,77.1,50.7
45.0,46.7,77.6
17.9,47.7,76.4
88.7,95.6,24.2
21.0,14.1,98.3
76.8,24.7,16.9
24.4,86.9,84.0
80.9,57.5,74.2
44.1,47.0,47.7
46.8,50.0,78.5
85.5,50.7,29.2
98.8,46.3,62.0
14.4,11.2,89.8
62.2,96.2,46.9
13.5,33.4,92.6
36.1,52.8,73.5
20.7,48.4,89.0
90.1,77.6,43.9
83.6,93.4,54.1
55.4,90.2,99.8
69.2,10.0,63.5
28.1,42.1,36.4
33.2,49.2,16.3
81.4,43.1,28.4
22.5,14.6,37.5
36.6,79.7,77.8
51.7,33.8,20.0
51.2,87.1,39.3
40.4,37.4,33.8
28.1,31.2,87.6
24.2,62.0,30.7
43.8,93.8,18.8
98.1,74.6,48.7
16.4,74.8,35.5
65.7,54.8,64.6
69.7,46.7,77.3
49.9,92.1,74.3
66.2,65.6,14.0
75.1,77.1,69.7
14.7,80.5,61.6
31.0,18.5,91.7
